timestamp,gpu0_util_pct,gpu0_mem_mb,gpu0_power_w,gpu1_util_pct,gpu1_mem_mb,gpu1_power_w,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_gb,mem_available_gb,mem_buff_cache_gb,train_epoch,train_step,train_loss,train_lr,epoch_progress_pct
2026-03-24 16:05:36,0,0,81.46,0,0,81.78,0.79,0.25,0.13,10,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:05:52,0,0,81.48,0,0,81.98,1.06,0.33,0.17,11,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:06:05,0,0,81.53,0,0,82.13,1.44,0.45,0.21,10,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:06:19,0,0,82.89,0,0,81.86,1.45,0.48,0.22,10,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:06:34,0,0,82.95,0,0,81.86,1.87,0.62,0.27,10,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:06:47,0,0,81.54,0,0,82.21,2.19,0.76,0.32,11,492,420,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:07:00,0,0,82.78,0,0,81.86,2.23,0.83,0.35,10,492,421,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:07:13,0,0,81.54,0,0,81.90,2.19,0.87,0.37,10,492,421,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:07:26,0,0,81.45,0,0,82.26,2.71,1.05,0.44,10,492,421,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:07:40,0,0,82.77,0,0,81.86,2.63,1.11,0.47,10,492,421,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:07:54,0,0,81.69,0,0,81.93,3.09,1.26,0.52,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:08:06,0,0,81.53,0,0,81.98,3.25,1.38,0.57,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:08:19,0,0,82.76,0,0,81.94,3.05,1.40,0.59,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:08:32,0,0,81.53,0,0,82.24,2.98,1.46,0.62,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:08:45,0,0,82.76,0,0,82.02,2.84,1.50,0.65,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:08:58,0,0,81.53,0,0,82.14,2.71,1.52,0.67,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:09:11,0,0,82.79,0,0,82.02,2.72,1.58,0.70,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:09:24,0,0,81.53,0,0,82.65,2.60,1.59,0.71,11,492,422,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:09:37,0,0,82.91,0,0,82.18,2.54,1.63,0.74,11,492,423,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:09:50,0,0,83.24,0,0,82.18,2.58,1.68,0.77,11,492,423,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:10:03,0,0,82.99,0,0,82.26,2.49,1.69,0.79,11,492,423,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:10:16,0,0,83.45,0,0,82.26,2.70,1.77,0.83,11,492,423,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:10:28,0,0,83.11,0,0,82.34,2.59,1.78,0.84,11,492,423,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:10:41,0,0,83.00,0,0,82.34,2.78,1.86,0.88,11,492,424,0,1099,0.01595403254032135,0.0004094334726687521,35.2
