timestamp,gpu0_util_pct,gpu0_mem_mb,gpu0_power_w,gpu1_util_pct,gpu1_mem_mb,gpu1_power_w,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_gb,mem_available_gb,mem_buff_cache_gb,train_epoch,train_step,train_loss,train_lr,epoch_progress_pct
2026-03-25 08:30:11,0,0,81.23,0,0,82.70,3.96,3.30,2.67,40,463,463,,,,,
2026-03-25 08:30:19,0,0,82.88,0,0,81.89,3.96,3.32,2.69,40,463,464,,,,,
2026-03-25 08:30:26,0,0,81.58,0,0,83.44,3.97,3.34,2.70,40,463,464,,,,,
2026-03-25 08:30:34,0,0,81.18,0,0,83.07,3.89,3.34,2.71,40,463,463,,,,,
2026-03-25 08:30:42,0,0,82.44,0,0,81.73,4.37,3.46,2.75,40,463,464,,,,,
2026-03-25 08:30:49,0,0,81.91,0,0,82.05,4.34,3.47,2.76,40,462,464,,,,,
2026-03-25 08:30:56,0,0,83.00,0,0,82.13,4.72,3.56,2.79,40,462,463,,,,,
2026-03-25 08:31:03,0,0,81.25,0,0,82.07,4.58,3.55,2.79,40,462,463,,,,,
2026-03-25 08:31:08,0,0,81.41,0,0,82.40,4.53,3.56,2.80,40,462,463,,,,,
2026-03-25 08:31:13,0,433,81.49,0,3,72.09,4.49,3.57,2.81,40,462,463,,,,,
2026-03-25 08:31:18,0,433,81.61,0,3,22.15,4.45,3.57,2.82,40,462,463,,,,,
2026-03-25 08:31:23,0,433,81.68,0,3,21.54,4.49,3.60,2.83,41,462,462,,,,,
2026-03-25 08:31:28,0,433,81.83,0,3,21.86,4.62,3.64,2.84,41,462,463,,,,,
2026-03-25 08:31:33,0,433,81.81,0,3,21.37,4.52,3.65,2.86,41,462,463,,,,,
2026-03-25 08:31:39,0,433,81.94,0,3,22.39,4.56,3.67,2.87,41,462,463,,,,,
2026-03-25 08:31:44,0,433,81.92,0,3,21.86,4.51,3.68,2.88,41,462,463,,,,,
2026-03-25 08:31:49,0,433,82.05,0,3,21.74,4.47,3.68,2.88,41,462,463,,,,,
2026-03-25 08:31:54,0,433,82.01,0,3,21.79,4.35,3.67,2.88,41,462,463,,,,,
2026-03-25 08:31:59,0,433,82.10,0,3,21.74,4.33,3.68,2.89,41,462,463,,,,,
2026-03-25 08:32:04,0,433,82.14,0,3,21.61,4.22,3.67,2.89,41,462,463,,,,,
2026-03-25 08:32:09,0,433,82.19,0,3,21.86,4.20,3.67,2.90,41,462,463,,,,,
2026-03-25 08:32:14,0,433,82.08,0,3,21.74,4.18,3.68,2.90,41,462,463,,,,,
2026-03-25 08:32:19,0,433,82.19,0,3,21.49,4.17,3.68,2.91,41,462,463,,,,,
2026-03-25 08:32:24,0,433,82.21,0,3,21.37,4.16,3.69,2.91,41,462,463,,,,,
2026-03-25 08:32:29,0,433,82.30,0,3,21.25,4.14,3.69,2.92,41,462,462,,,,,
2026-03-25 08:32:34,0,433,82.23,0,3,22.59,4.13,3.70,2.93,41,462,463,,,,,
2026-03-25 08:32:39,0,433,82.28,0,3,21.74,4.28,3.74,2.94,41,462,463,,,,,
2026-03-25 08:32:44,0,433,82.19,0,3,21.25,4.26,3.74,2.95,41,462,463,,,,,
2026-03-25 08:32:49,0,433,82.25,0,3,21.49,4.24,3.75,2.95,41,462,463,,,,,
2026-03-25 08:32:55,0,433,82.39,0,3,21.74,4.22,3.75,2.96,41,462,463,,,,,
2026-03-25 08:33:00,0,433,82.39,0,3,21.74,4.12,3.74,2.96,41,462,463,,,,,
2026-03-25 08:33:05,0,433,82.39,0,3,21.61,4.11,3.74,2.97,41,462,463,,,,,
2026-03-25 08:33:10,0,433,82.36,0,3,21.98,4.10,3.75,2.97,41,462,463,,,,,
2026-03-25 08:33:15,0,433,82.34,0,3,21.49,4.01,3.73,2.97,41,462,462,,,,,
2026-03-25 08:33:20,0,433,82.32,0,3,21.74,4.01,3.74,2.98,41,462,463,,,,,
2026-03-25 08:33:25,0,433,82.39,0,3,21.13,3.93,3.73,2.98,41,462,463,,,,,
2026-03-25 08:33:30,0,433,82.43,0,3,21.25,3.86,3.71,2.98,41,461,463,,,,,
2026-03-25 08:33:35,0,433,80.82,0,3,21.73,3.87,3.72,2.99,41,461,462,,,,,
2026-03-25 08:33:40,0,583,81.42,0,583,81.88,3.88,3.72,2.99,42,461,462,,,,,
2026-03-25 08:33:45,0,583,80.68,0,583,80.79,3.89,3.73,3.00,42,461,462,,,,,
2026-03-25 08:33:50,0,583,80.74,0,583,80.55,3.98,3.75,3.01,42,461,462,,,,,
2026-03-25 08:33:55,0,583,80.58,0,583,80.60,4.06,3.77,3.02,42,461,462,,,,,
2026-03-25 08:34:01,0,1419,80.63,0,1419,82.86,4.38,3.84,3.05,42,460,461,,,,,
2026-03-25 08:34:06,0,1419,80.60,0,1419,81.08,6.75,4.34,3.21,42,460,461,,,,,
2026-03-25 08:34:11,0,1419,80.58,0,1419,81.08,9.09,4.87,3.39,44,458,459,,,,,
2026-03-25 08:34:16,0,1419,80.61,0,1419,81.44,11.17,5.37,3.56,45,458,459,,,,,
2026-03-25 08:34:21,0,1419,80.71,0,1419,81.32,13.07,5.86,3.73,45,458,459,,,,,
2026-03-25 08:34:26,0,1419,80.61,0,1419,81.20,14.75,6.33,3.89,45,458,459,,,,,
2026-03-25 08:34:31,0,1419,80.57,0,1419,81.08,16.29,6.79,4.05,45,458,459,,,,,
2026-03-25 08:34:36,0,1419,80.75,0,1419,81.20,17.79,7.26,4.22,45,458,459,,,,,
2026-03-25 08:34:41,0,1419,80.65,0,1419,81.32,19.17,7.72,4.39,45,458,459,,,,,
2026-03-25 08:34:47,0,1419,80.63,0,1419,81.44,20.52,8.19,4.56,45,458,459,,,,,
2026-03-25 08:34:52,0,1419,80.56,0,1419,81.57,21.76,8.65,4.72,45,458,459,,,,,
2026-03-25 08:34:57,0,1419,80.72,0,1419,81.44,23.06,9.14,4.90,45,458,458,,,,,
2026-03-25 08:35:02,0,1419,80.80,0,1419,81.81,24.01,9.57,5.07,45,458,458,,,,,
2026-03-25 08:35:07,0,1419,80.70,0,1419,81.44,24.89,9.99,5.23,45,458,459,,,,,
2026-03-25 08:35:12,0,1419,80.66,0,1419,81.69,25.78,10.42,5.39,45,458,459,,,,,
2026-03-25 08:35:17,0,1419,80.57,0,1419,81.57,26.44,10.81,5.55,45,457,459,,,,,
2026-03-25 08:35:22,0,1419,80.74,0,1419,81.44,27.13,11.21,5.70,46,457,458,,,,,
2026-03-25 08:35:27,0,1419,80.72,0,1419,81.69,27.84,11.63,5.87,46,457,458,,,,,
2026-03-25 08:35:32,0,1419,80.64,0,1419,81.44,28.65,12.06,6.04,47,455,456,,,,,
2026-03-25 08:35:37,0,1419,80.80,0,1419,81.69,29.16,12.44,6.20,47,455,456,,,,,
2026-03-25 08:35:42,0,1419,80.64,0,1419,81.69,29.71,12.84,6.36,47,455,456,,,,,
2026-03-25 08:35:48,0,1419,80.54,0,1419,81.57,30.13,13.20,6.51,47,455,456,,,,,
2026-03-25 08:35:53,0,1419,80.54,0,1419,82.17,30.52,13.57,6.66,47,455,456,,,,,
2026-03-25 08:35:58,0,1419,80.60,0,1419,81.44,30.88,13.92,6.82,47,455,456,,,,,
2026-03-25 08:36:03,0,1419,80.50,0,1419,81.69,31.21,14.27,6.97,48,455,456,,,,,
2026-03-25 08:36:08,0,1419,80.47,0,1419,81.69,31.44,14.60,7.11,48,455,456,,,,,
2026-03-25 08:36:13,0,1419,80.43,0,1419,81.57,31.72,14.94,7.26,48,455,456,,,,,
2026-03-25 08:36:18,0,1419,80.54,0,1419,81.93,31.98,15.27,7.41,48,455,456,,,,,
2026-03-25 08:36:23,0,1419,80.36,0,1419,81.44,32.15,15.58,7.56,48,455,456,,,,,
2026-03-25 08:36:28,0,1419,80.46,0,1419,81.93,32.29,15.89,7.70,48,455,456,,,,,
2026-03-25 08:36:33,0,1419,80.46,0,1419,81.57,32.51,16.21,7.84,48,455,456,,,,,
2026-03-25 08:36:38,0,1419,80.37,0,1419,81.69,32.63,16.50,7.99,48,455,456,,,,,
2026-03-25 08:36:43,0,1419,80.44,0,1419,81.57,32.90,16.83,8.14,48,455,456,,,,,
2026-03-25 08:36:48,0,1419,80.38,0,1419,81.93,33.07,17.13,8.28,48,455,455,,,,,
2026-03-25 08:36:53,0,1419,80.52,0,1419,81.57,33.22,17.42,8.42,48,455,456,,,,,
2026-03-25 08:36:59,0,1419,80.43,0,1419,81.93,33.57,18.02,8.71,48,455,456,,,,,
2026-03-25 08:37:04,0,1419,80.58,0,1419,81.57,33.77,18.32,8.86,48,455,456,,,,,
2026-03-25 08:37:09,0,1419,80.64,0,1419,81.69,33.87,18.60,9.00,48,455,455,,,,,
2026-03-25 08:37:14,0,1419,80.56,0,1419,81.44,33.96,18.87,9.14,48,455,456,,,,,
2026-03-25 08:37:19,0,1419,80.60,0,1419,81.93,34.12,19.15,9.29,48,454,456,,,,,
2026-03-25 08:37:24,0,1419,80.59,0,1419,81.57,34.35,19.45,9.44,48,454,456,,,,,
2026-03-25 08:37:29,0,1419,80.67,0,1419,82.41,34.40,19.71,9.57,48,454,455,,,,,
2026-03-25 08:37:34,0,1419,80.65,0,1419,82.66,34.45,19.96,9.71,48,454,456,,,,,
2026-03-25 08:37:39,0,1419,80.75,0,1419,81.81,34.66,20.25,9.86,48,454,455,,,,,
2026-03-25 08:37:44,0,1419,80.77,0,1419,81.69,34.68,20.49,9.99,49,454,455,,,,,
2026-03-25 08:37:49,0,1419,80.78,0,1419,81.69,34.79,20.75,10.13,49,454,455,,,,,
2026-03-25 08:37:54,0,1419,80.69,0,1419,81.57,34.89,21.00,10.27,49,454,455,,,,,
2026-03-25 08:38:00,0,1419,80.64,0,1419,81.81,34.90,21.23,10.40,49,453,454,,,,,
2026-03-25 08:38:05,0,1419,80.82,0,1419,81.57,47.40,24.05,11.37,52,451,452,,,,,
2026-03-25 08:38:10,0,1419,80.89,0,1419,81.78,47.93,24.55,11.60,59,443,443,,,,,
2026-03-25 08:38:15,0,1419,80.78,0,1419,81.54,59.94,27.43,12.61,58,444,446,,,,,
2026-03-25 08:38:20,0,1419,80.60,0,1419,81.88,59.15,27.81,12.81,63,440,429,,,,,
2026-03-25 08:38:25,0,1419,80.65,0,1419,81.69,74.11,31.43,14.06,63,439,432,,,,,
2026-03-25 08:38:30,0,1419,80.56,0,1419,81.69,86.27,34.66,15.20,66,437,436,,,,,
2026-03-25 08:38:35,0,1419,80.62,0,1419,81.86,92.82,36.87,16.02,66,436,436,,,,,
2026-03-25 08:38:40,0,1419,80.79,0,1419,81.69,103.64,40.05,17.16,67,435,437,,,,,
2026-03-25 08:38:45,0,1419,80.60,0,1419,82.43,98.07,39.94,17.25,70,432,423,,,,,
2026-03-25 08:38:50,0,1419,80.61,0,1419,82.20,107.11,42.78,18.29,73,430,428,,,,,
2026-03-25 08:38:55,0,1421,80.62,0,1421,82.54,114.95,45.48,19.29,73,430,432,,,,,
2026-03-25 08:39:01,0,2609,80.65,0,2609,81.14,117.60,47.18,19.98,74,428,432,,,,,
2026-03-25 08:39:06,0,2609,80.65,0,2609,81.67,125.64,50.02,21.05,80,422,423,,,,,
2026-03-25 08:39:11,1,24893,81.91,0,24893,90.85,131.83,52.56,22.03,80,422,423,,,,,
2026-03-25 08:39:16,100,33869,294.68,100,33869,306.01,135.45,54.62,22.86,80,423,428,,,,,
2026-03-25 08:39:21,100,33869,288.95,100,33869,291.66,142.54,57.43,23.94,79,423,428,,,,,
2026-03-25 08:39:26,100,33869,296.51,100,33869,277.04,135.37,57.36,24.09,82,420,414,,,,,
2026-03-25 08:39:31,0,33869,84.39,0,33869,82.29,142.95,60.23,25.20,81,421,416,,,,,
2026-03-25 08:39:36,0,33869,83.62,0,33869,81.61,147.12,62.46,26.11,84,418,420,,,,,
2026-03-25 08:39:41,0,33869,83.27,0,33869,80.60,149.51,64.37,26.92,83,420,424,,,,,
2026-03-25 08:39:46,0,33869,83.08,0,33869,80.45,153.39,66.59,27.84,87,416,415,,,,,
2026-03-25 08:39:51,100,33869,116.75,0,33869,100.56,157.77,68.93,28.81,85,418,416,,,,,
2026-03-25 08:39:56,100,33869,95.49,0,33869,81.25,155.46,69.93,29.35,87,415,420,,,,,
2026-03-25 08:40:01,100,33869,305.33,100,33869,304.98,157.43,71.76,30.16,85,417,421,,,,,
2026-03-25 08:40:06,100,33869,313.20,100,33869,300.97,158.35,73.37,30.90,86,416,421,,,,,
2026-03-25 08:40:12,100,33869,294.16,100,33869,273.00,158.16,74.75,31.58,89,414,410,,,,,
2026-03-25 08:40:17,0,33869,84.76,0,33869,83.36,158.87,76.28,32.30,89,413,414,,,,,
2026-03-25 08:40:22,100,33869,147.89,0,33869,82.39,161.20,78.13,33.14,89,414,418,,,,,
2026-03-25 08:40:27,0,33869,85.84,0,33869,99.78,162.15,79.71,33.89,87,415,420,,,,,
2026-03-25 08:40:32,100,33869,96.93,0,33869,81.98,159.09,80.44,34.38,90,412,417,,,,,
2026-03-25 08:40:37,100,33869,96.62,0,33869,81.74,161.65,82.28,35.22,88,414,419,,,,,
2026-03-25 08:40:42,100,33869,276.67,100,33869,279.82,163.20,83.92,36.00,91,411,405,,,,,
2026-03-25 08:40:47,100,33869,295.09,100,33869,287.87,164.63,85.53,36.78,91,412,407,,,,,
2026-03-25 08:40:52,100,33869,293.60,96,33869,293.57,167.54,87.45,37.66,92,411,411,,,,,
2026-03-25 08:40:57,0,33869,85.13,0,33869,83.07,167.74,88.82,38.37,91,411,416,,,,,
2026-03-25 08:41:02,0,33869,84.49,100,33869,94.59,169.92,90.58,39.21,92,410,413,,,,,
2026-03-25 08:41:07,100,33869,228.13,100,33869,222.64,159.52,89.74,39.22,92,410,403,,,,,
2026-03-25 08:41:12,0,33869,85.07,100,33869,99.09,160.12,91.02,39.91,93,410,408,,,,,
2026-03-25 08:41:17,100,33869,306.52,100,33869,287.93,160.99,92.35,40.61,93,410,412,,,,,
2026-03-25 08:41:22,100,33869,299.63,100,33869,286.00,161.15,93.52,41.27,91,411,416,,,,,
2026-03-25 08:41:27,100,33869,312.82,100,33869,289.58,162.50,94.93,42.00,94,409,409,,,,,
2026-03-25 08:41:32,100,33869,280.58,100,33869,264.08,162.22,95.99,42.63,94,408,413,,,,,
2026-03-25 08:41:38,75,33869,307.98,82,33869,274.94,159.24,96.47,43.07,93,409,411,,,,,
2026-03-25 08:41:43,100,33869,308.54,99,33869,300.36,150.41,95.68,43.11,95,407,406,,,,,
2026-03-25 08:41:48,0,33869,129.84,100,33869,137.65,152.54,97.04,43.83,95,407,410,,,,,
2026-03-25 08:41:53,0,33869,87.36,100,33869,101.33,151.86,97.81,44.36,93,409,414,,,,,
2026-03-25 08:41:58,100,33869,99.61,0,33869,84.15,154.83,99.33,45.14,95,407,409,,,,,
2026-03-25 08:42:03,0,33869,86.76,0,33869,84.31,147.16,98.66,45.22,95,407,411,,,,,
2026-03-25 08:42:08,0,33869,85.99,100,33869,99.18,148.26,99.69,45.84,94,408,406,,,,,
2026-03-25 08:42:13,100,33869,310.51,100,33869,321.00,146.80,100.20,46.29,95,408,405,,,,,
2026-03-25 08:42:18,93,33869,301.65,92,33869,304.44,148.50,101.32,46.94,94,409,408,,,,,
2026-03-25 08:42:23,100,33869,309.18,100,33869,291.87,151.58,102.75,47.70,94,408,411,,,,,
2026-03-25 08:42:28,100,33869,100.62,0,33869,85.71,153.62,103.98,48.39,94,408,413,,,,,
2026-03-25 08:42:33,100,33869,99.58,0,33869,85.12,154.29,104.94,49.00,97,405,398,,,,,
2026-03-25 08:42:38,100,33869,98.93,0,33869,84.64,148.18,104.49,49.16,97,405,400,,,,,
2026-03-25 08:42:43,100,33869,98.50,0,33869,84.09,148.09,105.20,49.68,97,405,401,,,,,
2026-03-25 08:42:48,100,33869,155.38,0,33869,109.58,149.52,106.21,50.31,98,404,404,,,,,
2026-03-25 08:42:53,100,33869,226.73,100,33869,280.22,150.36,107.10,50.90,97,405,409,,,,,
2026-03-25 08:42:58,100,33869,290.85,100,33869,294.68,149.53,107.65,51.38,97,406,412,,,,,
2026-03-25 08:43:03,100,33869,261.58,0,33869,192.33,152.61,108.98,52.11,97,405,403,,,,,
2026-03-25 08:43:09,100,33869,99.18,100,33869,115.67,149.36,109.03,52.43,98,405,406,,,,,
2026-03-25 08:43:14,100,33869,301.43,100,33869,295.53,148.21,109.47,52.88,97,406,409,,,,,
2026-03-25 08:43:19,100,33869,99.27,0,33869,84.38,152.09,111.57,54.17,97,405,411,,,,,
2026-03-25 08:43:24,100,33869,98.72,0,33869,83.77,151.92,112.21,54.68,98,405,408,,,,,
2026-03-25 08:43:29,100,33869,304.22,100,33869,295.32,152.57,113.01,55.25,97,405,406,,,,,
2026-03-25 08:43:34,100,33869,287.92,100,33869,284.28,152.68,113.69,55.78,98,404,409,,,,,
2026-03-25 08:43:39,100,33869,100.46,0,33869,84.88,153.83,114.57,56.38,98,404,406,,,,,
2026-03-25 08:43:44,100,33869,99.40,0,33869,84.51,154.40,115.34,56.94,99,403,410,,,,,
2026-03-25 08:43:49,100,33871,322.70,100,33869,313.32,151.65,115.42,57.28,100,402,407,,,,,
2026-03-25 08:43:54,100,33871,289.68,100,33869,299.12,155.12,116.74,58.02,102,400,394,,,,,
2026-03-25 08:43:59,99,33871,308.65,99,33869,291.51,157.83,117.94,58.72,99,403,396,,,,,
2026-03-25 08:44:04,100,33871,302.82,100,33869,306.35,158.41,118.72,59.29,102,400,399,,,,,
2026-03-25 08:44:09,100,33871,100.75,0,33869,85.46,159.18,119.54,59.88,102,400,401,,,,,
2026-03-25 08:44:14,100,33871,99.91,0,33869,85.00,159.96,120.36,60.46,102,400,403,,,,,
2026-03-25 08:44:19,100,33871,99.18,0,33869,84.39,159.73,120.97,60.98,101,401,406,,,,,
2026-03-25 08:44:24,99,33871,304.75,100,33869,301.24,161.35,121.95,61.62,100,402,409,,,,,
2026-03-25 08:44:29,0,33871,132.97,100,33869,115.88,160.92,122.52,62.13,99,403,407,,,,,
2026-03-25 08:44:34,9,33871,292.98,99,33869,291.54,160.53,123.07,62.63,100,403,408,,,,,
2026-03-25 08:44:39,100,33871,254.54,100,33869,291.60,162.17,124.03,63.27,99,403,407,,,,,
2026-03-25 08:44:45,100,33871,185.56,0,33869,102.85,162.39,124.71,63.82,100,402,409,,,,,
2026-03-25 08:44:50,100,33871,320.41,100,33869,320.66,160.52,124.95,64.22,100,402,406,,,,,
2026-03-25 08:44:55,0,33871,88.89,100,33869,96.94,158.72,125.17,64.62,100,402,406,,,,,
2026-03-25 08:45:00,0,33871,87.80,0,33869,86.10,157.54,125.48,65.04,100,402,404,,,,,
2026-03-25 08:45:05,100,33871,319.16,100,33869,315.28,158.37,126.19,65.60,101,402,403,,,,,
2026-03-25 08:45:10,100,33871,101.30,0,33869,113.18,157.62,126.57,66.05,104,399,399,,,,,
2026-03-25 08:45:15,100,33871,99.89,0,33869,85.85,159.74,127.52,66.68,104,399,402,,,,,
2026-03-25 08:45:20,80,33871,308.84,100,33869,299.58,159.76,128.06,67.18,104,399,405,,,,,
2026-03-25 08:45:25,100,33871,308.43,100,33869,286.67,159.46,128.52,67.66,101,401,408,,,,,
2026-03-25 08:45:30,0,33871,148.26,0,33869,146.15,158.38,128.81,68.08,102,400,406,,,,,
2026-03-25 08:45:35,0,33871,87.54,0,33869,86.32,157.63,129.15,68.51,101,401,407,,,,,
2026-03-25 08:45:40,0,33871,86.12,100,33869,101.51,158.30,129.76,69.04,102,401,404,,,,,
2026-03-25 08:45:45,100,33871,304.69,100,33869,294.80,158.43,130.26,69.53,101,401,407,,,,,
2026-03-25 08:45:50,100,33871,99.90,0,33869,85.71,159.20,130.89,70.06,102,400,405,,,,,
2026-03-25 08:45:55,100,33871,99.20,0,33869,85.00,160.15,131.56,70.60,102,401,406,,,,,
2026-03-25 08:46:00,100,33871,289.29,96,33869,300.66,161.02,132.21,71.14,102,401,404,,,,,
2026-03-25 08:46:05,100,33871,297.87,100,33869,298.83,159.01,132.27,71.49,102,400,403,,,,,
2026-03-25 08:46:10,100,33871,300.53,100,33869,298.62,159.89,132.90,72.02,102,400,405,,,,,
2026-03-25 08:46:16,98,33871,271.70,43,33869,281.40,159.82,133.33,72.48,102,400,407,,,,,
2026-03-25 08:46:21,100,33871,100.70,0,33869,86.07,151.59,132.07,72.40,106,396,391,,,,,
2026-03-25 08:46:26,100,33871,99.86,0,33869,85.34,151.38,132.35,72.81,104,398,394,,,,,
2026-03-25 08:46:31,100,33871,290.57,100,33869,287.49,151.03,132.59,73.21,105,397,397,,,,,
2026-03-25 08:46:36,100,33871,99.44,0,33869,85.83,152.55,133.21,73.73,106,396,400,,,,,
2026-03-25 08:46:41,100,33871,318.44,100,33869,305.71,154.03,133.84,74.25,105,397,404,,,,,
2026-03-25 08:46:46,100,33871,101.64,0,33869,100.74,156.03,134.59,74.82,103,399,406,,,,,
2026-03-25 08:46:51,100,33871,100.24,0,33869,85.46,158.35,135.43,75.41,103,400,406,,,,,
2026-03-25 08:46:56,100,33871,308.20,100,33869,311.49,157.36,135.60,75.79,103,400,406,,,,,
